id,currency,symbol,name,price,price_date,price_timestamp,circulating_supply,max_supply,market_cap,market_cap_dominance,volume,price_change,price_change_pct,volume_change,volume_change_pct,market_cap_change,market_cap_change_pct
BTC,BTC,BTC,Bitcoin,27661.11772,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,19320993,21000000,534440261841,0.4483,36206283717,953.0240324,0.0357,-1653196881,-0.0437,18439063846,0.0357
ETH,ETH,ETH,Ethereum,1825.868125,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,122373866,,223438541696,0.1874,4868993181,66.34879257,0.0377,215166129.8,0.0462,8119358266,0.0377
USDT,USDT,USDT,Tether,1.00967411,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,76181018247,,76918001802,0.0645,48887086283,0.0045100162,0.0045,989019129,0.0206,1358619458,0.018
BNB,BNB,BNB,Binance Coin,344.7545654,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,157895234,157900174,54435102776,0.0457,398979835.9,6.02028317,0.0178,-371395155.2,-0.4821,950574019.2,0.0178
USDC,USDC,USDC,USD Coin,1.00679159,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,36266428485,,36512735266,0.0306,1112785075,-0.0057367399,-0.0057,-278395368.7,-0.2001,-751597200.2,-0.0202
XRP,XRP,XRP,XRP,0.38404434,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,50950912949,100000000000,19567409696,0.0164,278593007.2,0.0032987773,0.0087,51360692.04,0.226,168075716.2,0.0087
HEX,HEX,HEX,HEX,0.091290162,2023-03-18T00:00:00Z,2023-03-18T13:49:00Z,141261507328,647953778836,12895785882,0.0108,393952.93,0.0045681892,0.0527,-67951.52,-0.1471,655791663.5,0.0536
ADA,ADA,ADA,Cardano,0.35535956,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,34011422878,45000000000,12086284118,0.0101,141161967.4,0.013300625,0.0389,-3325262.51,-0.023,452597830.1,0.0389
MATIC,MATIC,MATIC,Polygon,1.24366577,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,9080469069,,11293068541,0.0095,256047705.7,0.046711207,0.039,29810498.62,0.1318,424159666.5,0.039
DOGE,DOGE,DOGE,Dogecoin,0.077820926,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,138570046384,,10783649324,0.009,157012528.3,0.0022488516,0.0298,23334249.9,0.1746,312611198.8,0.0299
SOL,SOL,SOL,Solana,22.32812825,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,383484523,,8562491607,0.0072,301228799.8,1.69608717,0.0822,129944590.7,0.7586,652582230.3,0.0825
BUSD,BUSD,BUSD,Binance USD,1.00576873,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,8224923999,8224923999,8272371358,0.0069,11915560415,0.0015971233,0.0016,965595550.2,0.0882,-11968072.04,-0.0014
DOT,DOT,DOT,Polkadot,6.64778772,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,1212685433,1293634566,8061675327,0.0068,88352795.07,0.13431322,0.0206,7614837.54,0.0943,164927718.3,0.0209
SHIB,SHIB,SHIB,Shiba Inu,0.000011320279,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,573771661477910,999990932407043,6495255507,0.0054,117889635.8,0.00000035103189,0.032,26076437.52,0.284,201553015.9,0.032
LTC,LTC,LTC,Litecoin,87.42488524,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,72508858,84000000,6339078610,0.0053,216724177,3.29314545,0.0391,44951912.62,0.2617,239361673.9,0.0392
TRX,TRX,TRX,TRON,0.067698208,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,91203260612,,6174297293,0.0052,94353755.02,0.00017589089,0.0026,780285.17,0.0083,15200102.17,0.0025
AVAX,AVAX,AVAX,Avalanche,17.67709784,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,325610087,421672807,5755841367,0.0048,123205052.8,0.75758705,0.0448,43351089.88,0.5429,246855084.7,0.0448
DAI,DAI,DAI,Dai,1.00450183,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,5437752287,5437752287,5462232126,0.0046,21541294.72,-0.0018720036,-0.0019,-15669577.96,-0.4211,-110912482.8,-0.0199
OP4,OP4,OP,Optimism,2.84929725,2023-03-18T00:00:00Z,2023-03-18T13:27:00Z,1679035853,4294967296,4784072245,0.004,4817.71,0.22066907,0.0839,971.71,0.2527,365428041.7,0.0827
WBTC,WBTC,WBTC,Wrapped Bitcoin,27653.41171,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,150151,150151,4152177861,0.0035,30762949.19,1109.35912,0.0418,5363275.74,0.2112,166570997.7,0.0418
ATOM,ATOM,ATOM,Cosmos,13.26170007,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,292586164,,3880189950,0.0033,64643494.17,0.10496064,0.008,6267561.78,0.1074,30710031.2,0.008
LINK,LINK,LINK,ChainLink,7.25892443,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,517099970,1000000000,3753589607,0.0031,121466535.5,0.065123151,0.0091,17775690.06,0.1714,33675179.57,0.0091
TONCOIN,TONCOIN,TONCOIN,The Open Network,2.54682762,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,1473591411,,3752983310,0.0031,310249.97,0.048464549,0.0194,7030.5,0.0232,71416942.49,0.0194
UNI,UNI,UNI,Uniswap Protocol Token,6.56649954,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,472024900,1000000000,3099551286,0.0026,41196490.34,0.29682925,0.0473,14449830.95,0.5402,140113302.9,0.0473
ETC,ETC,ETC,Ethereum Classic,22.10055885,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,139973959,210700000,3093502726,0.0026,108826951.6,2.31454742,0.117,70924405.42,1.8712,323898259.1,0.1169
XMR,XMR,XMR,Monero,153.5997069,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,18253993,,2803807950,0.0024,28326119.21,-1.96419389,-0.0126,1450247.4,0.054,-35787644.6,-0.0126
BCH,BCH,BCH,Bitcoin Cash,136.1739531,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,19340275,21000000,2633641687,0.0022,18898549.73,2.97480217,0.0223,-418184.82,-0.0216,57654203.38,0.0224
FIL,FIL,FIL,Filecoin,6.3604714,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,406655028,2000000000,2586517677,0.0022,187870829.9,0.19130882,0.031,-6496693.18,-0.0334,79105851.03,0.0315
XLM,XLM,XLM,Stellar,0.088413119,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,26494415705,50001787425,2342453934,0.002,20543445.56,0.00055248861,0.0063,1601046.41,0.0845,15955368.46,0.0069
LDO,LDO,LDO,Lido DAO,2.6992721,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,855578129,1000000000,2309438172,0.0019,473381347.4,0.21387614,0.0861,76950249.49,0.1941,183671658.5,0.0864
APTOS,APTOS,APT,Aptos,13.970507,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,154994166,1024993166,2165347083,0.0018,1134064699,0.86304724,0.0658,133911934.8,0.1339,135889020.6,0.067
TUSD,TUSD,TUSD,TrueUSD,1.00711801,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,2029821040,2029821040,2044269324,0.0017,7943759.8,-0.004510666,-0.0045,-1177943.94,-0.1291,-4331535.06,-0.0021
HBAR,HBAR,HBAR,Hedera Hashgraph,0.065529913,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,30051791115,50000000000,1969291259,0.0017,50754696.77,0.0015149246,0.0237,-348363.03,-0.0068,170868251.2,0.095
QNT,QNT,QNT,Quant,133.8545201,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,14544176,14612493,1946803720,0.0016,19492204.69,3.96167784,0.0305,97851.03,0.005,57619340.45,0.0305
NEAR,NEAR,NEAR,Near Protocol,2.20286946,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,866021030,1000000000,1907731276,0.0016,51163526.36,0.11865006,0.0569,12365781.72,0.3187,102753449.4,0.0569
CRO,CRO,CRO,Cronos,0.073771548,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,25263013692,30263013692,1863691621,0.0016,290610.99,-0.00061697197,-0.0083,-92294.03,-0.241,-15586571.28,-0.0083
VET,VET,VET,VeChain Thor,0.024134114,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,72511146418,86712634466,1749992240,0.0015,31805467.15,0.00045519533,0.0192,-266916.17,-0.0083,33006735.11,0.0192
APE7,APE7,APE,ApeCoin,4.57323936,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,368593750,1000000000,1685667446,0.0014,98247841.67,0.2243226,0.0516,-7478908.36,-0.0707,82683906.57,0.0516
ICP,ICP,ICP,Dfinity,5.65302769,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,296397113,497115059,1675541088,0.0014,23450368.7,0.15995065,0.0291,3422140.22,0.1709,47415116.39,0.0291
BLOCKSTACK,BLOCKSTACK,STX,Stacks,1.1897275,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,1366897170,1818000000,1626235156,0.0014,989920946.2,0.12829404,0.1209,207050971.9,0.2645,175503930.6,0.121
ALGO,ALGO,ALGO,Algorand,0.22726064,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,7128881023,10000000000,1620114042,0.0014,20402119.04,0.0062731091,0.0284,4301917.15,0.2672,44720040.43,0.0284
GRT,GRT,GRT,The Graph,0.17079265,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,8840895438,10000000000,1509959967,0.0013,270247933.1,0.01492002,0.0957,-33686014.19,-0.1108,132083370,0.0959
FTM,FTM,FTM,Fantom,0.52814643,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,2782542905,3175000000,1469590098,0.0012,1107550315,0.067684737,0.147,354611002.6,0.471,188395331.5,0.147
CRI,CRI,CRI,Crypto International,0.45560568,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,2964782129,10000850776,1350771588,0.0011,127159.77,0.0027554867,0.0061,17025.12,0.1546,8169417.76,0.0061
EOS,EOS,EOS,EOS,1.14995939,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,1139090593,,1309907925,0.0011,31220493.88,0.023544947,0.0209,2091331,0.0718,26819827.52,0.0209
SAND2,SAND2,SAND,The Sandbox,0.70492831,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,1811481926,3000000000,1276964900,0.0011,425707471.6,0.074744196,0.1186,215257128.1,1.0228,135397760.9,0.1186
MANA,MANA,MANA,Decentraland,0.66512165,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,1824397104,2193193327,1213446007,0.001,277249540.5,0.051875988,0.0846,133111921.4,0.9235,94641110.23,0.0846
AAVE,AAVE,AAVE,Aave,81.66269064,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,14328298,16000000,1170087397,0.001,15314309.7,3.05892972,0.0389,3907666.28,0.3426,43912460.22,0.039
IMX3,IMX3,IMX,Immutable X,1.49031933,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,782156207,2000000000,1165662512,0.001,394653421.3,0.076039615,0.0538,84011277.46,0.2704,60103971.77,0.0544
EGLD,EGLD,EGLD,Elrond,46.21376513,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,25145367,25150519,1162062085,0.001,11384797.9,3.0184327,0.0699,3650975.06,0.4721,76099808.5,0.0701
XTZ,XTZ,XTZ,Tezos,1.24616397,2023-03-18T00:00:00Z,2023-03-18T13:50:00Z,922920846,,1150110710,0.001,8261605.28,0.022242927,0.0182,765154.67,0.1021,20605624.3,0.0182
